Title,Caption,Copyright,Node Type
London Conference on Afghanistan (2010),"His Excellency Hamid Karzai, President of the Islamic Republic of Afghanistan at Lancaster House speaking at the London Conference on Afghanistan.",Newsteam.co.uk/Crown Copyright,event
Revitalisation of Forodhani Park in Zanzibar’s Historic Stone Town,"Prince Amyn Aga Khan and Zanzibar’s First Lady, Her Excellency Madame Shadya Karume, walk across Forodhani Park during the inauguration ceremony.",AKDN/Zahur Ramji,event
Aga Khan's Golden Jubilee Visit to Madagascar,His Highness the Aga Khan meeting with the President of the National Assembly Jacques Sylla at the National Assembly.,AKDN/Zahur Ramji,event
Example Event,,,event
"Conference on Central Asia and Europe, Berlin","His Highness the Aga Khan delivers the keynote address at the Conference, entitled, “Central Asia and Europe: A New Economic Partnership for the 21st Century” hosted by the German Federal Foreign Office and the United Nations Economic Commission for Europe (UNECE). Germany’s Foreign Minister, Frank-Walter Steinmeier, Executive Secretary of the UN European Commission for Europe, Marek Belka and the European Commission’s External Relations Commissioner, Benita Ferrero-Waldner.",AKDN/Arnhel de Serra,event
Foundation stone-laying ceremony of the Bujagali hydropower project,"His Highness the Aga Khan and His Excellency President Yoweri Museveni of Uganda, lay the foundation stone for the Bujagali Hydropower Project, Jinja. The US$ 770 million project is the country’s first private hydroelectric power project, and is expected to significantly lower the price of electricity in Uganda. The plant is also one of the largest independent power plants in sub-Saharan Africa.",AKDN/Gary Otte,event
Aga Khan receives David Rockefeller Bridging Leadership Award,Synergos Founder and Chairperson Peggy Dulany presenting the David Rockefeller Bridging Leadership Award to His Highness the Aga Khan. ,JMB Photographic Ltd,event
Aga Khan visits Singapore,"His Highness the Aga Khan is greeted by the Prime Minister of Singapore, Mr Lee Hsien Loong.",AKDN / Amir Hakim,event
Aga Khan visits Malaysia,"In the presence of His Highness the Aga Khan, Minister Dato Seri Utama Dr Rais Yatim cuts the ribbon to officially open the Aga Khan Museum exhibition at the Islamic Arts Museum Malaysia.",AKDN / Gerald Friedli,event
Inauguration of Kyrgyz President,His Highness the Aga Khan congratulates President Almazbek Atambaev on his official inauguration as President of the Kyrgyz Republic. ,Artur Boldjurov    ,event
Launch of United Nations World Disaster Reduction Campaign 2008-2009,"Princess Zahra Aga Khan, Head of the Social Welfare Department of the Aga Khan Development Network, speaking at the launch of the United Nations World Disaster Reduction Campaign 2008-2009.",A. Thorlund / UN-ISDR,event
Aga Khan's Golden Jubilee visit to Mali,"His Highness the Aga Khan reviews the troops at Bamako airport, accompanied by President of Mali, Amadou Toumani Touré.",AKDN/Gary Otte,event
Honorary Citizen of the Islamic Community of Timbuktu and an Honorary Doctorate from the University of Sankoré,His Highness the Aga Khan is made an Honorary Citizen of the Region of Timbuktu.,AKDN/Arnhel De Serra,event
Nouvel Economiste Philanthropic Entrepreneur of the Year 2009 Award,"His Highness the Aga Khan receives the Prix de l'Entrepreneur philanthropique de l'année 2009 from Le Nouvel Economiste, presented by Philippe Seguin, Premier President of the Cour des Comptes, as Henri Nijdam, publisher and editorial managing director of Le Nouvel Economiste looks on.",AKDN / Gary Otte,event
Lisbon Academy of Sciences,"His Highness the Aga Khan speaks to the distinguished audience at Portugal's Academy of Sciences after being admitted as Foreign Member, Class of Humanities.",AKDN/Ricardo Oliveira and Nuno Saraiva,event
"Global Philanthropy Forum, Washington, DC",His Highness the Aga Khan speaking to the Global Philanthropy Forum.,AKDN / Zahur Ramji,event
10th German World Bank Forum,"Prince Amyn Aga Khan, chairman of the Aga Khan Fund for Economic Development executive committee, speaks at the 10th German World Bank Forum in Frankfurt on November 20, 2008 in Frankfurt am Main. Challenges in the economic crisis and the role of Asia were the main themes of the forum. ",Mario Vedder / Getty Images ,event
"Avignon Forum, France","His Highness the Aga Khan delivers a speech at ""A culural growth factor "" conference.",Ministère de la Culture et de la Communication,event
"AKAA Seminar and Exhibition, Burkina Faso","Farrokh Derakshani, Director of the Aga Khan Award, with His Highness the Aga Khan and representatives of the Ministry of Culture looking at exhibition panels on the work of the AKAA.",AKDN/Arnhel De Serra,event
Aga Khan's Golden Jubilee visit to Burkina Faso,"His Highness the Aga Khan with the President of Burkina Faso, Blaise Compaore at the Presidential Palace.",AKDN/Arnhel de Serra,event
"Creation of a urban park in Bamako, Mali","Bamako Urban Park, Mali, March 2008.",Courtesy of HCP,event
Inauguration of the Great Mosque of Mopti ,President Amadou Toumani Touré of Mali thanks His Highness the Aga Khan for the work undertaken by the Aga Khan Trust for Culture in restoring the mosque.,AKDN/Gary Otte,event
US State of Illinois and the Ismaili Imamat sign Cooperation Agreement,"Illinois Governor Pat Quinn and His Highness the Aga Khan sign an Agreement of Cooperation between the State of Illinois and the Ismaili Imamat that will expand collaboration in education, environmental stewardship and management, health sciences, library and information sciences, infrastructure development, agricultural sustainability and culture.",AKDN / Farhez Rayani,event
Example Related Items Event,,,event
Foundation Laying Ceremony for the New Bamyan Provincial Hospital,"Foundation Laying Ceremony of the new Bamyan Provincial Hospital (BPH), 18 April 2013, Bamyan, Afghanistan.",,event
Banquet in honour of Uganda's President Yoweri Museveni,"His Highness the Aga Khan talks at a banquet in honour of President Yoweri Museveni of Uganda, with President Francois Bozize of the Central African Republic and Joachim Chissano, former President of Mozambique also in attendance. ",AKDN / Gary Otte,event
His Highness the Aga Khan in East Africa for his first official visit of the Golden Jubilee,,,event
State banquet during His Highness the Aga Khan's Golden Jubilee visit to Tanzania,"President Kikwete introduces Mrs Begum Taj, Director of Foreign Relations Affairs in the Tanzanian Ministry, to His Highness the Aga Khan at the State banquet. ",AKDN / Zahur Ramji    ,event
"Official meeting and State banquet in Nairobi, Kenya","State Banquet by President at State House, Nairobi, Kenya, 13 August 2007.  ",AKDN / Gary Otte,event
"Aga Khan Museum's exhibition in London, UK","Albarello, Syria, 15th century (ceramic; fritware, underglaze painted in blue and black) - Spirit & Life: Masterpieces of Islamic Art from the Aga Khan Museum Collection at the Ismaili Centre, London from 14 July – 31 August 2007.",AKTC,event
"Pluralism Lecture by Kofi Annan at the Global Centre for Pluralism, Canada",Kofi Annan delivering the annual Pluralism Lecture organised by the Global Centre for Pluralism.,Bonnie Findley / Global Centre for Pluralism,event
Aga Khan's short visit to Central Asia,"His Highness the Aga Khan, the First Deputy Prime Minister Asadullo Gulomov, and the Governor of Gorno-Badakhshan Autonomous Oblast, Qodiri Qosim, tour the newly revitalised Khorog Park.",AKDN/Gary Otte,event
The Aga Khan announces the Engagement of his eldest son,Prince Rahim Aga Khan and Ms. Kendra Spears.,AKDN / Gary Otte,event
The Aga Khan speaks at UNESCO conference in China,"His Highness the Aga Khan delivers the keynote address at the international congress on the role of culture in development in Hangzhou, China. ",AKDN / Katharina Hesse,event
Graduation ceremony at the Institut d'Etudes Politiques de Paris (Sciences Po),His Highness the Aga Khan speaking at Graduation Ceremony of the Masters of Public Affairs (MPA) Programme at the Institut d'Etudes Politiques de Paris (Sciences Po).,AKDN/Gary Otte,event
"Inauguration of the Ishkashim bridge, Tajikistan","His Highness the Aga Khan, President Rahmanov of Tajikistan (right), and Second Vice President Abdul Karim Khalili of Afghanistan (left) at the inauguration of the new Ishkashim Bridge across the Panj River.",AKDN / Gary Otte,event
"Foundation stone-laying ceremony of the Aga Khan Academy, Hyderabad","An artist's rendering of the Aga Khan Academy, Hyderabad. The residential campus, where learning and growth are stimulated by the constant interaction among peers of great talent, character, and leadership, is expected to be an important part of the learning experience at the Academy.",,event
"Columbia University (SIPA) convocation address, USA","His Highness the Aga Khan with members of the SIPA Faculty following his Commencement Address at the Riverside Church, New York.",AKDN / Zahur Ramji,event
"Centenary Celebration Meeting, Association of American Universities",His Highness the Aga Khan addressing the International Convocation of the Association of American Universities (AAU). ,,event
"First White House Conference on Culture and Diplomacy, Washington DC","The 28 November 2000, His Highness the Aga Khan was meeting U. S. President Bill Clinton and U.S. Secretary of State Madeleine Albright at the first White House Conference on Culture and Diplomacy, Washington.",Mansour Saleh,event
Conference of Indigenous Philanthropy,His Highness the Aga Khan with (R to L) Aga Khan University President Shamsh Kassim-Lakha and Pakistan President Rafiq Tarar at the opening ceremony of the Indigenous Philanthropy Conference. ,AKDN / Gary Otte,event
Agreement clears way for Aga Khan Trust for Culture to begin rehabilitation of Nairobi City Park,"From left to right, Prince Hussain Aga Khan, Prime Minister of Kenya Raila Odinga, His Highness the Aga Khan and Luis Monreal, General Manager of the Aga Khan Trust for Culture, viewing a scale model of Nairobi City Park. ",AKDN / Samwell Nyakondo,event
Aga Khan and Musharraf discuss regional issues,His Highness the Aga Khan in conversation with President Pervez Musharraf.,AKDN / Gary Otte,event
"Canada’s Prime Minister Chretien and Aga Khan discuss Central Asia, pluralism and development","His Highness the Aga Khan with The Right Honourable Jean Chrétien, Prime Minister of Canada.",AKDN / Gary Otte,event
Aga Khan welcomes the Sorbonne's new series on Islam,"His Highness the Aga Khan and Prince Amyn Aga Khan are introduced to Professor Marianne Barrucand, Institute of Art and Archaeology, University of Paris-Sorbonne (Paris IV), organiser of the conference on Fatimid Art and History held at the Sorbonne, 28-31 May 1998, and editor of the conference volume : ""L'Egypte Fatimide: son art et son histoire"" published by the University Press.",,event
Aga Khan speaks at World Bank on human capital and the global information infrastructure,His Highness the Aga Khan delivering the keynote address on the New Networked Economy at the World Faiths & Development Dialogue Conference held at the World Bank. ,AKDN / Gary Otte,event
President Mubarak and Aga Khan discuss Cairo projects,"His Highness the Aga Khan meeting with the President of Egypt, Hosni Mubarak, to discuss the revitalisation project of the historic old city undertaken by the Aga Khan Trust for Culture (AKTC). ",AKDN / Gary Otte,event
Aga Khan signs Co-operation Agreement with France,"His Highness signing an Accord for Co-operation between the French Ministry of Foreign Affairs, represented by M. Hubert Védrine and the Association Aga Khan, a French entity whose members include some of the principal agencies of the Aga Khan Development Network.",G. Bouys - AFP    ,event
Winners of the seventh Cycle of the Aga Khan Award for Architecture,"His Highness the Aga Khan and His Royal Majesty the King Juan Carlos presenting his certificate to Professor Charles Correa, architect winner for the Vidhan Bhavan project (India) at the 1998 Aga Khan Award for Architecture held in the Alhambra Palace. ",Jose Torres,event
Aga Khan outlines path to peace in Afghanistan,"His Highness the Aga Khan addressing to the crowd of ten of thousands at a final Deedar held in Yogit, Darvaz region, Tajikistan, 27 September 1998. ",AKDN / Zahur Ramji,event
"International Association for Volunteer Effort World Conference, Canada","Princess Zahra Aga Khan delivering the keynote address at the International Association for Volunteer Effort World Conference held in Edmonton, Canada, 25 August 1998.",AKDN / Zahur Ramji,event
Aga Khan meets Mandela and Chissano in Mozambique,"His Highness the Aga Khan meeting with South African President Nelson Mandela, 11 August 1998, Maputo, Mozambique. ",AKDN / Gary Otte,event
Opening ceremony of the Lisbon Ismaili Centre,His Highness the Aga Khan arriving with President of Portugal Jorge Sampaio at the opening ceremony of the Lisbon Ismaili Centre. ,AKDN / Zahur Ramji,event
Central asian states and Aga Khan sign treaty to launch regional university,"His Excellency Emomali Rahmon, President of Tajikistan, and His Highness the Aga Khan signed the International Treaty establishing the new University of Central Asia in a ceremony in Dushanbe, Tajikistan.",AKDN / Gary Otte,event
World's first mountain university founded along the Silk Route,President Nazarbayev and His Highness the Aga Khan congratulate each other and exchange signed copies of the International Treaty. ,AKDN / Gary Otte,event
"XIIIth international meeting of peoples and religions, Portugal",His Highness the Aga Khan speaking during the XIIIth International Meeting of Peoples and Religions. ,AKDN / Patrick Ruchdi,event
International conference on reconstruction assistance to Afghanistan,"Street of Kabul, Afghanistan.",AKDN / Jean-Luc Ray,event
Aga Khan visits Syria,His Highness the Aga Khan and Prime Minister Mohammad Mustafa Miro sign the Framework Development Agreement between the Aga Khan Development Network and Syria in Damascus.,AKDN/Patrick Ruchdi,event
Yo-Yo Ma performs on the Silk Road for Aga Khan Award,"The Silk Road Ensemble performing during the Aga Khan Award for Architecture ceremony in Aleppo, Syria, on 6 November 2001.",,event
Nine projects receive the 2001 Aga Khan Award for Architecture,"Prime Minister Mohammad Mustafa Miro presents Dr. Bachir Diallo, Director of Kahere Elia Poultry Farming School, Guinea, with his certificate.",AKDN/Gary Otte,event
Presentation Ceremony of the 8th Aga Khan Award for Architecture,His Highness the Aga Khan speaking at the Aga Khan Award for Architecture ceremony held in Aleppo. ,AKDN / Patrick Ruchdi,event
Aga Khan meets President Assad and cabinet ministers,His Highness the Aga Khan with Syrian Prime Minister Mohammad Mustafa Miro and Minister for State Cabinet Mohamad Seifo. ,AKDN / Patrick Ruchdi,event
"Signing ceremony of an Agreement of Cooperation for development, Kyrgyz Republic",His Highness the Aga Khan with the President of the Kyrgyz Republic Askar Akaev at the signing ceremony of an Agreement of Cooperation for Development.,AKDN / Patrick Ruchdi,event
Aga Khan outlines expanded development initiatives for Tanzania,His Highness the Aga Khan with Tanzanian President Benjamin Mkapa signing an Agreement of Co-operation for Development. ,AKDN / Gary Otte    ,event
Aga Khan receives Archon Award for promoting global health and welfare,"His Highness the Aga Khan delivering a speech when receiving the Archon Award. President of Sigma Theta Tau International, Dr Patricia Thompson (middle) looked on togeher with Facutly members : Dr May L. Wikle (right) and Dr Karen H. Morin (left), Professor, Dean of School of Nursing Faculty.",AKDN / Patrick Ruchdi,event
International Baccalaureate teachers meet at Aga Khan Academy in Hyderabad,"The Academy in Hyderabad hosts its first IB workshop, welcoming over 100 teachers to its campus.",AKDN,event
AKMI presents “New Sounds from Arab Lands” in Europe and United States,"Five eminent performers from Syria, Tunisia and Lebanon tour Europe and the United States in 2013. ",Carlos Casas / Aga Khan Music Initiative,event
Nine projects receive 2007 Aga Khan Award for Architecture,Recipients of the Aga Khan Award for Architecture Kuala Lumpur.,AKDN/Gary Otte,event
"Governor General's Canadian Leadership Conference, Canada ",Canada's Governor-General Adrienne Clarkson speaking at the Leadership and Diversity Conference. ,AKDN / Zahur Ramji,event
Announcement of the First Ismaili Centre in Middle East,"(L to R) : Architect Rami El Dahan explaining His Highness the Aga Khan and His Highness Sheikh Ahmed bin Saeed Al Maktoum, Deputy Chairman of the Dubai Executive Council, Chief guest, the project model of the proposed Ismaili Centre, Dubai following its Foundation Stone Ceremony. ",AKDN / Zahur Ramji,event
Aga Khan Award for Architecture Seminar in Tajikistan explores architecture in CIS countries,"The Ismaili Centre Dushanbe, Tajikistan.",AKDN / Moez Visram,event
"Aga Khan Osh School inauguration, Kyrgyz Republic","His Highness the Aga Khan at the inauguration of the first phase of the Aga Khan School, in Osh, Kyrgyz Republic.",AKDN/Gary Otte,event
French government bestows Honors for Contributions to Culture,"France’s Minister for Culture and Communication, Frédéric Mitterrand addressing the guests at the ceremony in Paris where His Highness the Aga Khan received the insignia of Commander of the Order of Arts and Letters (Commandant de l'ordre des Arts et des Lettres) and Prince Amyn Aga Khan received the insignia of Officer of the Order of Arts and Letters (Officier de l'ordre des Arts et des Lettres).",Farida Bréchemier / MCC,event
"10th Annual LaFontaine-Baldwin Symposium, Canada","His Highness the Aga Khan delivers the LaFontaine-Baldwin Lecture in Toronto, Canada. His Highness talked about the long history of pluralism, the intensification of these challenges and how best to respond to that challenge. ""The world we seek is not a world where difference is erased, but where difference can be a powerful force for good, helping us to fashion a new sense of cooperation and coherence in our world, and to build together a better life for all,"" said the Aga Khan.",AKDN / Zahur Ramji,event
Kabul’s Timur Shah Mausoleum opened by President Karzai and the Aga Khan,"The mausoleum of Timur Shah in Kabul, Afghanistan, after restoration by the Aga Khan Trust for Culture.",AKDN / Christian Richters ,event
Five projects receive 2010 Aga Khan Award for Architecture; Oleg Grabar receives Chairman’s Award,"Her Highness Sheikha Moza bint Nasser, His Highness Sheikh Hamad bin Khalifa Al Thani the Emir of Qatar and His Highness the Aga Khan with the recipients of the 2010 Aga Khan Awards for Architecture at the ceremony at the Museum of Islamic Art, Doha, Qatar. Photo: AKDN / Gary Otte
صاحب السمو الشيخ حمد بن خليفة آل ثاني أمير دولة قطر، وصاحبة السمو الشيخة موزة بنت ناصر المسند، وسمو الآغا خان في صورة تذكارية مع الفائزين بجائزة الآغا خان للعمارة 2010.
تصوير غاري أوتي، شبكة الآغا خان للتنمية
",,event
"Council of Europe ""Cultural Event"" Label Awarded to the Aga Khan Music Initiative",Kronos Quartett & Alim Qasimov Ensemble.,Sebastian Schutyser ,event
"Signature of MoU for revitalisation of Quli Qutb Shah archaeological park in Hyderabad, India","The signing of the MoU has been preceded by a year-long documentation programme, where each of the 70 structures within the tomb complex - Deccan Park area have been documented and their conservation needs established. Topographical surveys of the entire 106 acre site have also been undertaken and a landscape master plan prepared.",AKTC / India,event
UCA and Afghanistan organise Symposium on “Trade and Cooperation between Central Asia and Afghanistan”,"Mr. Azizullah Stanikzai, Deputy General Director of Trade and Investment in the Afghan Ministry of Foreign Affairs, engaging in a discussion during UCA's  symposium on ""Trade and Cooperation between Central Asia and Afghanistan"". Mr. Stanikzai also participated in UCA's 10-day trade policy and negotiations training programme in Issyk-kul, Kyrgyz Republic, held in August 2012.",Aziz Jan / UCA,event
Province of Alberta and Aga Khan sign Cooperation Agreement,His Highness the Aga Khan and Alberta Premier Alison Redford sign an Agreement of Cooperation between the Ismaili Imamat and the Government of Alberta in Edmonton. ,AKDN / Alnoor Nathoo    ,event
"Foundation ceremony of the new Women’s Wing at the French Medical Institute for Children (FMIC), Kabul",Foreign Minister Laurent Fabius of France speaking at the foundation ceremony for the new Women's Wing at the French Medical Institute for Children in Kabul. ,AKDN / Gary Otte,event
"Aga Khan School in Osh, Kyrgyzstan, celebrates 10th Anniversary","Princess Zahra Aga Khan together with Vice Speaker of Parliament Asiya Sasykbaeva and a student of the Aga Khan School cutting a 10th Anniversary cake at the Aga Khan School in the presence of the Speaker of Osh City Council Taalaibek Sabirov, Vice Governor of Osh Oblast Ahmatjan Mahamedov, Vice Mayor of Osh City Dastan Hodjaev, and members of the Parliament of the Kyrgyz Republic.",AKDN / Mikhail Romanyuk,event
"Inauguration of Bujagali hydropower plant, Uganda","The Bujagali Hydropower project, which now supplies almost 50 percent of the electricity of Uganda.",AKDN,event
"Inauguration of Nyagak I hydropower plant, Uganda","Nyagak I hydropower station in Paidha, Zombo District, Uganda",,event
Inauguration of UCA's football and tennis facilities of international standards,The teams ready for kick off at the Naryn Main Campus in Kyrgyz Republic.,AKDN / Mikhail Romanyuk,event
University of Central Asia begins Programme to promote trade and regional cooperation in Central Asia ,"Sixty public servants from Afghanistan, Kazakhstan, Tajikistan and the Kyrgyz Republic at the Institute of Public Policy and Administration at its Trade and Regional Cooperation training programme.",AKDN / Mikhail Romanyuk,event
"Marketplace on Innovative Financial Solutions for Development, France",His Highness the Aga Khan addresses the Marketplace on Innovative Financial Solutions for Development in Paris on 4 March 2010.,AKDN / Gary Otte,event
"Prince Rahim Aga Khan opens new Diamond Trust Bank headquarters, visits other projects",Prince Rahim Aga Khan and his wife Princess Salwa meet with Diamond Trust Bank staff at the opening of the bank's new Nairobi headquarters. ,AKDN / Zahur Ramji,event
Aga Khan Hospital in Dar es Salaam launches first Oncology Programme as part of expansion,"Princess Zahra and Dr Seif Seleman Rashid, Tanzania’s Minister for Health and Social Welfare, launch the new Oncology Programme at the Aga Khan Hospital, Dar es Salaam.",AKDN / Zahur Ramji,event
Aga Khan addresses a special Joint Session of Canadian Parliament,"His Highness the Aga Khan delivers a historic address to a joint session of the Parliament of Canada in the House of Commons, Ottawa.",AKDN / Zahur Ramji,event
88th Stephen Ogden Lecture at Brown University,His Highness the Aga Khan visited Brown at the invitation of University President Christina Paxson. His Ogden Lecture was part of the school’s 250th anniversary celebrations.,AKDN / Farhez Rayani,event
His Highness the Aga Khan visits Berlin,"His Highness the Aga Khan with Germany’s foreign minister, Frank-Walter Steinmeier.",AKDN / Zahur Ramji,event
"The Enabling Environment Conference, Kenya","His Highness the Aga Khan, Prince Amyn Aga Khan and leaders of the Government of Kenya at the Enabling Environment Conference in Nairobi.",AKDN / Ian Charles Stewart    ,event
Aga Khan's Silver Jubilee visit to Canada,"His Highness the Aga Khan greets The Honourable Grace McCarty, Deputy Premier of British Columbia, Vancouver, Canada.",AKDN / Christopher Little,event
Aga Khan's Silver Jubilee visit to Pakistan,His Highness the Aga Khan accompanied by President Zia-ul-Haq upon his arrival in Karachi.,AKDN / Christopher Little    ,event
Aga Khan's Silver Jubilee visit to India,"During His Highness the Aga Khan's Silver Jubliee visit to India as a guest of the Government, His Highness had private talks with the Prime Minister Indira Gandhi at the President House, Rashtrapati Bhavan, 13 January 1983. ",AKDN / Subhash Chander ,event
First Anniversary of the Mindanao University,"His Highness the Aga Khan watching the Cadets Parade at Mindanao State University's First Anniversary Celebration with (L to R) : Mr Lucman ; Dr Antonio Isidro, President of Mindanao State University and Col. Commandant. Also in the rear row sitting (L to R) Inamullah Khan, Vazir Amirali H. Fancy, Vazir Capt. Amirali Currim and Mr Khan, Counsel at the Embassy of Pakistan.",AKDN/H/ Merchant,event
Honorary Doctorate (Honoris Causa) at Peshawar University,His Highness the Aga Khan delivering a speech after receiving an Honorary Doctorate at Peshawar University.,AKDN,event
Honorary Doctorate of Laws from the University of Sindh,His Highness the Aga Khan receiving an Honorary Degree of Doctorate of Laws conferred by the University of Sindh.,AKDN,event
"Aga Khan University Convocation in Karachi, 2013",Graduates of the BScN and the Diploma in Nursing take their oath having received their certificates. ,AKDN / Gary Otte,event
Aga Khan visits Pakistan,His Highness the Aga Khan in discussion with Pakistani Prime Minister Nawaz Sharif at the Prime Minister's residence.,AKDN / Gary Otte,event
His Highness the Aga Khan visits Afghanistan,President Karzai welcomes His Highness the Aga Khan at the Presidential Palace in Kabul.,ARG,event
"Aga Khan University Convocation in Karachi, 2006",Graduates arriving at the Aga Khan University convocation ceremony.,AKDN / Gary Otte,event
"International Development Conference, Washington",His Highness the Aga Khan.,AKDN / Gary Otte,event
"Commencement ceremony at the Brown University, Providence, USA","His Highness the Aga Khan in discussion with singer Mary Chapin Carpenter, other Honorary Degrees recipient, before the Commencement Procession at Brown University. ",AKDN / Garry Otte,event
"Presentation of Academic Awards, London University","Following the presentation of the diplomas, His Highness the Aga Khan addresses the new graduates at the University of London Institute of education. ",AKDN / Christopher Little,event
"Asia Society, Islamic architecture: a revival",His Highness the Aga Khan.,AKDN,event
Honorary Doctorate of Laws from the University of Sindh,His Highness the Aga Khan receiving an Honorary Degree of Doctorate of Laws conferred by the University of Sindh.,AKDN,event
Aga Khan's Silver Jubilee visit to Bangladesh,"His Highness the Aga Khan called on the Chief Martial Law Administrator Lt General Hussain Mohammad Ershad at the Presidential Lodge in Dhaka, Bangladesh, 04 January 1983. ",Nabi Padamsey    ,event
Aga Khan's Silver Jubilee visit to Tanzania,"His Highness the Aga Khan arriving at the airport of Moshi, Kilimanjaro region.  ",AKDN / Christopher Little ,event
Aga Khan attends the inauguration of Afghanistan’s new president,His Highness the Aga Khan receives a guard of honour upon his arrival at the Presidential Palace in Kabul to meet with newly elected President of Afghanistan Ashraf Ghani Ahmadzai.,"PPU, Government of Afghanistan",event
His Highness the Aga Khan's visit to the Kyrgyz Republic,"His Highness the Aga Khan speaks to the media and shares his views on progress of the Naryn campus, the first of the University of Central Asia's three new undergraduate campuses. Two other campuses are being built in Tajikistan and Kazakhstan. ",AKDN / Mikhail Romanyuk ,event
The London Conference on Afghanistan,Afghan President Ashraf Ghani speaking at the 2014 London Conference on Afghanistan.,Patrick Tsui / FCO,event
The Aga Khan University’s new Charter and 2015 Convocation ceremony in Tanzania,"In the AKU convocation ceremony held in Dar es Salaam, Tanzania, on 24 February 2015, 37 graduates received the Master of Education degree; three received the Master of Medicine degree; and 18 graduates were conferred with the degree of Bachelor of Science in Nursing. ",AKDN / Zahur Ramji,event
"2015 Aga Khan University Convocation, Kampala, Uganda","As Chancellor of Aga Khan University, His Highness the Aga Khan presented diplomas to the graduates of the ceremony, held in Kampala, Uganda, on 26 February 2015. ",AKDN / Zahur Ramji,event
"2015 Aga Khan University Convocation, Nairobi, Kenya","Among the graduands of the Nairobi convocation ceremony were 87 students of the Medical College’s Postgraduate Medical Education programme and the School of Nursing and Midwifery. Twenty-one students were awarded Master of Medicine degrees, alongside 39 Bachelor of Science in Nursing and 27 Diploma in Nursing graduates. ",AKDN / Zahur Ramji,event
Humayun's Tomb Site Museum launch and India's Padma Vibhushan Award,His Highness the Aga Khan and Minister of Tourism and Culture Dr Mahesh Sharma at the foundation ceremony of the Humayun's Tomb site museum. ,AKDN / Narendra Swain   ,event
"Inauguration of Amir Aqsunqur Mosque, Cairo",The 14th century Amir Aqsunqur “Blue Mosque” restored in Cairo's Al-Darb al-Ahmar district. ,AKDN / Gary Otte,event
Opening of the Aga Khan Park and agreement with Province of Ontario,"The Aga Khan Park, Toronto. ",AKM,event
Opening of the Ismaili Centre Toronto and Aga Khan Museum,"His Highness the Aga Khan with Canadian Prime Minister Stephen Harper unveil a plaque commemorating the opening of the Ismaili Centre, Toronto. 
",AKDN / Moez Visram,event
Académie des Beaux-Arts Investiture,"His Highness the Aga Khan delivers an eulogy in memory of his predecessor, the Japanese architect Kenzo Tange.",AKDN/Gary Otte,event
Visit to the Swiss-American Chamber of Commerce in Zürich,His Highness the Aga Khan.,AKDN / Gary Otte,event
